accessories,accommodation,alcohol,audio_equipment,beverages,books,cameras,car_rentals,clothing,coffee_shops,dairy_products,desktops,electronics,fast_food,food_delivery,fruits,groceries,gym_memberships,jewelry,laptops,magazines,meat,movies,music,outdoor_activities,public_transportation,restaurant_meals,seafood,shoes,smartphones,snacks,software,sports_equipment,streaming_services,tablets,travel,vegetables,video_games,watches,income
4.45,90.09,39.2,7.6,57.9,45.14,6.62,67.66,8.69,41.03,99.54,5.14,12.84,78.76,60.18,79.71,121.61,66.91,3.35,9.78,44.92,100.24,68.92,67.81,67.68,67.13,80.35,80.7,5.93,12.56,61.28,5.85,45.47,90.42,9.11,90.93,79.3,11.92,3.37,198.79
10.92,84.86,28.69,44.3,43.88,42.29,27.53,63.8,16.93,27.65,70.37,27.41,72.29,56.23,42.28,56.4,84.83,61.63,6.61,44.35,41.5,69.12,62.35,63.18,61.77,63.62,56.65,57.41,14.58,57.26,41.7,30.7,40.71,81.92,45.05,83.09,56.76,58.56,5.97,423.35
5.77,18.5,37.53,13.38,57.34,8.65,7.13,15.04,7.69,37.85,96.32,7.74,22.36,75.76,55.09,77.01,113.12,14.91,4.17,14.43,7.99,95.81,13.65,16.13,13.78,13.97,76.06,76.24,6.59,16.94,58.07,8.41,10.16,18.51,15.71,17.35,76.93,19.3,4.64,154.83
15.05,77.77,33.34,100.67,51.88,40.58,65.89,59.22,24.67,32.74,83.55,64.86,164.36,67.17,50.78,66.08,99,57.91,10.65,99.06,40.7,83.55,58.97,58.44,59.01,58.39,65.76,66.2,19.82,131.39,50.91,66.74,39.4,78.12,97.49,77.9,67.35,131.61,9.93,799.07
26.94,12.49,10.1,82.35,14.55,6.87,55.79,6.75,42.7,8.62,24.49,53.66,135.44,18.71,14.01,19.2,27.67,8.23,16.94,80.06,4.7,21.07,9.85,9.1,9.68,8.35,19.36,17.7,36.33,109.54,14.87,52.77,6.17,11.99,80.76,12.31,18.75,108.84,16.95,617.97
4.49,25.72,29.54,93.76,42.22,12.67,60.65,19.82,7.61,27.29,68.21,60.22,153.65,56.14,40.43,54.29,80.86,19.78,3.35,92.67,14.5,68.51,19.66,21.93,21.02,19.52,53.74,54.17,6.13,125.08,41.71,64.04,12.38,26.11,93.33,26.23,53.79,123.86,3.73,680.76
37.64,37.31,46.77,146.99,71.83,19.72,96.95,28.06,62.35,48.88,120.54,98.37,246.25,98.06,71.02,96.48,144.53,27.55,22.28,147.58,18.42,121.71,25.58,27.72,27.93,26.12,96.26,95.95,51.03,196.4,72.67,97.83,18.88,35.29,148.68,36.45,98.12,195.83,24.89,1139.48
37.2,74.73,29.76,147.65,44.15,36.48,98.49,55.3,66.14,30.13,76.39,99.78,247.2,60.42,47.16,62.51,90.99,56.08,24.8,147.27,35.77,76.02,54.99,55.75,54.07,56.28,59.16,59.73,51.12,196.67,43.05,97.8,37.43,72.59,148.55,73.77,59.98,197.41,25.27,1168.17
6.4,52.35,52.34,26.87,75.85,23.57,17.02,36.89,8.64,51.53,125.81,17.24,45.09,99.91,74.46,98.71,148.38,37.25,3.09,28.11,25.12,123.04,38.04,37.37,37.3,36.14,100.85,100.42,6.85,36.33,75.17,18.51,26.29,49.8,27.17,48.41,98.89,36.19,3.69,290.3
9.71,48.55,40.97,109.94,64.48,23.64,73.2,35.01,17.69,42.18,105.95,73.66,183.54,83.91,63.75,84.33,127.05,36.51,8.39,108.03,23.43,103.54,36.67,35.56,38.03,36.34,85.4,84.37,13.5,145.97,62.15,69.96,24.97,49.92,108.23,48.21,85.39,143.92,5.85,836.08
45.7,92.96,31.13,60.55,50.52,48.08,41.59,70.36,72.56,33.18,81.77,40.16,103.54,66.49,49.08,66.79,99.82,70.95,28.52,59.92,46.39,82.35,70.62,70.1,70.07,68.91,65.35,68.79,58.79,82.14,50.98,40.06,48.05,93.66,62.13,92.52,65.43,82.51,29.8,629.07
17.85,38.86,18.89,120.38,25.82,18.38,80.81,29.21,28.76,17.79,42.07,79.69,202.11,34.63,24.4,34.81,52.49,29.84,12.11,121.06,19.11,43.22,27.22,28.25,30.52,29.77,33.79,33.85,22.89,160.76,26.44,81.07,18.49,38.69,120.82,38.88,34.15,161.8,11.83,897.19
11.73,39.27,61.24,137.49,92.08,17.69,92.94,26.33,24.03,62.73,150.76,89.3,229.87,120.68,91.29,121.98,179.25,28.67,9.91,138.66,17.89,152.81,30.13,28.64,28.32,28.93,120.31,120.55,18.33,182.86,89.76,93.56,18.75,38.29,136.54,37.48,121.49,183.86,8.8,1046.46
28.34,60.24,32.74,112.96,50.51,30.06,77.05,45.54,48.15,34.2,84.45,75.14,188.41,65.71,48.99,68.01,101.9,44.23,19.18,113.55,29.87,83.66,45.68,43.25,44.35,43.43,68.32,66.85,38.21,149.26,51.1,74.36,30.47,58.17,113.39,58.54,66.33,151.53,19.44,904.38
7.86,11.61,12.93,69.1,18.19,7.06,42.85,9.58,12.01,11.81,32.66,44.64,112.68,26.43,20.18,28.41,38.54,7.95,4.58,68.66,5.93,34.79,9.2,8.7,7.67,9.26,25.6,26.35,9.5,89.04,19.69,44.25,5.27,12.45,67.72,10.57,27.28,89.13,5.34,488.09
37.57,67.87,39.74,35.33,58.48,34.07,25.83,51.55,58.59,40.14,98.58,24.89,58.3,77.5,58.17,79.65,117.42,52.28,23.52,35.37,33.99,94.62,50.69,51.08,51.54,50.79,77.83,79.19,51.02,45.61,60.16,22.62,33.99,66.86,36.8,68.71,79.65,45.85,25.05,417.28
30.73,79.18,26.16,133.89,40.31,37.43,88.9,57.86,49.18,27.15,70.04,89.75,224.13,57.25,40.8,55.31,81.86,57.09,19.98,134.36,40.7,68.09,58.99,57.89,58.85,58.89,53.41,55.74,39.49,177.91,40.84,89.55,37.19,75.35,133.62,80.07,54.53,178.67,18.19,1059.85
16.07,38.66,27.87,48.93,43.03,19.81,32.54,29.88,28.09,28.63,69.71,32.66,79.13,56.35,41.7,57.4,84.78,29.13,11.33,48.5,20.01,72.1,29.91,27.39,29.89,28.16,56.32,58.02,21.95,64.98,43.87,32.66,20.88,38.41,49.35,39.26,57.77,62.46,10.68,420.53
